iter	Logloss
0	0.5822631503
1	0.4909538702
2	0.4270678647
3	0.3690894528
4	0.338249675
5	0.3145544788
6	0.2949034549
7	0.2803926558
8	0.2682659038
9	0.2586731863
10	0.2507776173
11	0.2426605407
12	0.2353812403
13	0.2290271405
14	0.2232711244
15	0.218658733
16	0.2140339439
17	0.2104091621
18	0.2075920656
19	0.2048413134
20	0.2010389001
21	0.1984690759
22	0.1962129735
23	0.1941174688
24	0.1923154481
25	0.1905584598
26	0.18895306
27	0.1872954891
28	0.1848115357
29	0.1833200463
30	0.1818689143
31	0.1806351596
32	0.1786139782
33	0.1770125069
34	0.1749060317
35	0.1739515716
36	0.1731978745
37	0.171514897
38	0.1703313801
39	0.169596582
40	0.1681947235
41	0.1670102373
42	0.1659051035
43	0.1646483628
44	0.1637238503
45	0.1629034559
46	0.1622252512
47	0.1617032465
48	0.1612829859
49	0.1605769786
50	0.1599260428
51	0.1595349213
52	0.1580806395
53	0.1572899118
54	0.1568450454
55	0.1564238923
56	0.1559364602
57	0.1549290501
58	0.1544186229
59	0.1538567825
60	0.1531256984
61	0.1527765439
62	0.1523473644
63	0.1519493591
64	0.1515430719
65	0.1509729347
66	0.15038281
67	0.1499280571
68	0.1494067674
69	0.1488024917
70	0.1485907633
71	0.1483163471
72	0.1479807448
73	0.1475845249
74	0.1471917454
75	0.1469106315
76	0.1463552878
77	0.1462496347
78	0.1460460227
79	0.1456822384
80	0.1452142146
81	0.1448082891
82	0.1445410912
83	0.1441788409
84	0.1439397739
85	0.1434266537
86	0.1430217603
87	0.1427202709
88	0.1421827935
89	0.1420051616
90	0.1419091885
91	0.1416755985
92	0.1412696779
93	0.1408838703
94	0.1406660791
95	0.140375067
96	0.1401659215
97	0.1398448343
98	0.1397038481
99	0.1395357331
100	0.139201774
101	0.1390853785
102	0.1384844181
103	0.1382904749
104	0.1381293522
105	0.1378696817
106	0.1376621928
107	0.1374420698
108	0.1371762136
109	0.1369368374
110	0.1366445823
111	0.1360397355
112	0.1358251514
113	0.1356266381
114	0.1354319039
115	0.1350734184
116	0.1347588515
117	0.1345680472
118	0.1342991641
119	0.1341159983
120	0.1336793156
121	0.1334330897
122	0.1330991806
123	0.1328965145
124	0.1327542381
125	0.132601223
126	0.1324690003
127	0.1323091141
128	0.1321876461
129	0.1321117806
130	0.1320296746
131	0.1316035497
132	0.1315177624
133	0.1312458694
134	0.1309155323
135	0.1307453622
136	0.1305389838
137	0.1303848742
138	0.130270373
139	0.1300441751
140	0.1299575575
141	0.1298672338
142	0.1297735074
143	0.1295591732
144	0.1294279666
145	0.1293540228
146	0.1290251696
147	0.1289052723
148	0.128734939
149	0.1285190671
150	0.1283981968
151	0.1282876261
152	0.1281624918
153	0.1279418803
154	0.1278553304
155	0.1276748093
156	0.1275381429
157	0.1274524751
158	0.1272951249
159	0.1271189907
160	0.1269478999
161	0.1269127437
162	0.1266572256
163	0.1265660593
164	0.1264590614
165	0.1263330018
166	0.1262214898
167	0.1259505442
168	0.1258035876
169	0.1256254716
170	0.1255302352
171	0.1254179967
172	0.1252925353
173	0.1251576899
174	0.125077905
175	0.1249973529
176	0.1247563543
177	0.1246889898
178	0.1245009932
179	0.1242973415
180	0.1240603363
181	0.1239215832
