iter	Passed	Remaining
0	84	84145
1	133	66375
2	153	51125
3	170	42453
4	180	35980
5	191	31763
6	202	28674
7	209	26034
8	218	24011
9	225	22340
10	233	20964
11	240	19790
12	247	18754
13	254	17910
14	262	17240
15	270	16630
16	278	16093
17	286	15606
18	294	15187
19	302	14821
20	313	14596
21	321	14305
22	328	13960
23	335	13632
24	341	13328
25	348	13065
26	364	13118
27	377	13109
28	391	13099
29	400	12939
30	407	12741
31	413	12515
32	424	12432
33	436	12409
34	445	12273
35	454	12171
36	462	12045
37	469	11875
38	478	11779
39	547	13135
40	562	13156
41	571	13035
42	579	12887
43	585	12716
44	591	12557
45	598	12410
46	605	12276
47	610	12117
48	616	11972
49	622	11829
50	629	11706
51	636	11612
52	644	11509
53	650	11397
54	658	11316
55	665	11217
56	671	11104
57	677	11009
58	684	10909
59	691	10829
60	697	10736
61	704	10665
62	711	10586
63	720	10543
64	733	10544
65	740	10483
66	750	10451
67	785	10762
68	794	10717
69	801	10651
70	808	10579
71	816	10524
72	825	10479
73	838	10498
74	850	10491
75	860	10465
76	871	10450
77	879	10395
78	888	10361
79	898	10337
80	907	10298
81	914	10238
82	920	10173
83	928	10127
84	939	10112
85	948	10082
86	955	10032
87	963	9986
88	970	9938
89	977	9882
90	984	9833
91	991	9781
92	997	9730
93	1004	9680
94	1012	9646
95	1020	9612
96	1028	9572
97	1035	9527
98	1041	9479
99	1049	9444
100	1057	9409
101	1064	9371
102	1071	9329
103	1078	9295
104	1087	9266
105	1096	9250
106	1104	9216
107	1111	9181
108	1118	9144
109	1125	9108
110	1134	9082
111	1141	9050
112	1150	9028
113	1161	9029
114	1170	9005
115	1177	8973
116	1184	8942
117	1191	8908
118	1198	8872
119	1204	8834
120	1211	8800
121	1217	8763
122	1224	8731
123	1232	8705
124	1240	8684
125	1247	8654
126	1255	8631
127	1262	8600
128	1268	8566
129	1274	8530
130	1281	8498
131	1287	8465
132	1293	8431
133	1299	8400
134	1305	8365
135	1312	8336
136	1318	8303
137	1323	8266
138	1329	8232
139	1336	8207
140	1342	8176
141	1347	8142
142	1353	8112
143	1359	8083
144	1366	8056
145	1373	8033
146	1381	8016
147	1388	7990
148	1395	7970
149	1403	7953
150	1410	7930
151	1415	7899
152	1421	7869
153	1427	7840
154	1432	7810
155	1438	7784
156	1444	7758
157	1450	7732
158	1456	7705
159	1464	7686
